ID;Diện tích;Khoảng giá;Số phòng ngủ;Số phòng tắm, vệ sinh;Pháp lý;Nội thất;Ngày hết hạn;Mặt tiền;Gần bệnh viện;Gần chợ;Gần trường học;Cao tầng;Quy hoạch;Phường;Quận;Giá m2
344;100,0;3,95;3;2;Sổ riêng;Không rõ;17/03/2026;0;0;1;1;0;0;Xã Nhơn Đức;Nhà Bè;0,0395
345;55,0;11,0;7;8;Sổ riêng;Không rõ;15/03/2026;0;0;0;0;1;0;Phường 5;Bình Thạnh;0,2
346;31,8;4,99;2;2;Sổ riêng;Không rõ;16/03/2026;0;0;1;1;1;0;Phường 12;Gò Vấp;0,156918
347;222,0;6,66;4;4;Sổ riêng;Không rõ;16/03/2026;0;0;0;0;0;0;Xã Long Thới;Nhà Bè;0,03
348;180,0;4,5;3;2;Sổ riêng;Không rõ;17/03/2026;0;0;0;0;0;0;Xã Nhơn Đức;Nhà Bè;0,025
349;82,5;3,85;3;2;Sổ riêng;Không rõ;16/03/2026;1;0;0;0;0;0;Xã Nhơn Đức;Nhà Bè;0,046667
350;55,0;5,4;1;1;Sổ riêng;Full nội thất;18/03/2026;0;0;0;0;0;0;Phường Tân Hưng;Quận 7;0,098182
351;232,0;58,0;4;3;Sổ riêng;Nội thất cơ bản;18/03/2026;0;0;0;0;1;0;Phường An Lợi Đông;Thủ Đức;0,25
352;87,0;6,95;3;2;Sổ riêng;Không rõ;18/03/2026;0;0;1;0;0;0;Phường Tam Phú;Thủ Đức;0,079885
353;82,0;6,8;3;2;Không rõ;Không rõ;18/03/2026;0;0;1;0;0;0;Phường 15;Tân Bình;0,082927
354;50,0;2,65;2;1;Sổ riêng;Không rõ;18/03/2026;1;1;1;1;0;0;Phường Bình Thọ;Thủ Đức;0,053
355;400,0;150,0;5;5;Sổ riêng;Không rõ;18/03/2026;1;0;0;0;1;0;Phường 4;Tân Bình;0,375
356;264,0;40,0;5;5;Không rõ;Không rõ;18/03/2026;1;0;0;0;1;0;Phường 19;Bình Thạnh;0,151515
357;58,6;13,6;4;3;Sổ riêng;Không rõ;09-03-26;1;0;0;1;1;0;Phường 9;Phú Nhuận;0,232082
358;98,0;17,8;4;2;Sổ riêng;Nội thất cơ bản;16/03/2026;1;0;1;0;1;0;Phường 17;Phú Nhuận;0,181633
359;56,0;5,29;3;2;Sổ riêng;Không rõ;18/03/2026;0;0;1;0;1;0;Phường 8;Tân Bình;0,094464
360;81,0;3,6;2;2;Sổ riêng;Full nội thất;13/03/2026;0;0;1;0;1;0;Phường Phước Long B;Thủ Đức;0,044444
361;50,0;7,8;8;8;Sổ riêng;Không nội thất;18/03/2026;1;0;0;0;1;0;Phường 14;Quận 3;0,156
362;55,0;3,1;2;1;Sổ riêng;Full nội thất;16/03/2026;0;0;0;1;1;0;Phường Phước Long B;Thủ Đức;0,056364
363;350,0;65,0;5;5;Sổ riêng;Không rõ;18/03/2026;0;0;0;1;1;0;Phường 13;Tân Bình;0,185714
364;260,0;87,0;5;5;Sổ riêng;Không rõ;18/03/2026;1;0;0;0;1;0;Phường 15;Tân Bình;0,334615
365;78,0;10,5;3;3;Sổ riêng;Không rõ;11-03-26;0;0;0;0;1;0;Phường 15;Tân Bình;0,134615
366;280,0;40,0;5;5;Không rõ;Không rõ;18/03/2026;1;0;0;0;1;0;Phường 15;Bình Thạnh;0,142857
367;106,0;4,2;3;2;Sổ riêng;Nội thất cơ bản;14/03/2026;1;0;0;1;0;0;Phường Phú Hữu;Thủ Đức;0,039623
368;47,0;2,49;1;1;Sổ riêng;Không rõ;18/03/2026;0;0;0;0;0;0;Phường Long Bình;Thủ Đức;0,052979
369;448,0;80,0;5;5;Sổ riêng;Không rõ;18/03/2026;1;0;0;0;1;0;Phường Thảo Điền;Thủ Đức;0,178571
370;56,0;5,75;3;3;Sổ riêng;Không rõ;11-03-26;1;0;1;0;1;0;Phường 1;Bình Thạnh;0,102679
371;45,0;2,45;1;1;Sổ riêng;Không rõ;11-03-26;0;0;1;0;0;0;Phường Phú Mỹ;Quận 7;0,054444
372;44,0;2,45;2;1;Sổ riêng;Không rõ;11-03-26;0;0;0;0;0;0;Phường Phú Mỹ;Quận 7;0,055682
373;27,5;5,1;2;2;Sổ riêng;Nội thất cơ bản;18/03/2026;1;0;0;0;1;1;Phường Nguyễn Cư Trinh;Quận 1;0,185455
374;86,0;22,4;4;4;Sổ chung;Không rõ;10-03-26;0;0;0;0;1;0;Phường 13;Phú Nhuận;0,260465
375;60,0;7,29;4;3;Sổ riêng;Nội thất cơ bản;17/03/2026;0;0;1;1;0;0;Phường 17;Bình Thạnh;0,1215
376;169,8;32,0;4;4;Sổ riêng;Không rõ;14/03/2026;0;0;0;0;1;0;Phường 13;Tân Bình;0,188457
377;81,2;4,06;3;2;Hợp đồng mua bán;Nội thất cơ bản;18/03/2026;0;0;0;0;1;0;Phường Long Bình;Thủ Đức;0,05
378;81,2;3,75;3;2;Sổ riêng;Nội thất cơ bản;18/03/2026;0;0;0;0;1;0;Phường Long Bình;Thủ Đức;0,046182
379;60,0;2,7;2;1;Sổ riêng;Full nội thất;13/03/2026;0;0;1;1;1;0;Phường Phước Long B;Thủ Đức;0,045
380;49,0;4,5;2;2;Sổ riêng;Full nội thất;11-03-26;0;0;1;1;1;0;Phường Thới An;Quận 1;0,091837
381;262,0;15,5;4;4;Không rõ;Không rõ;14/03/2026;1;1;1;0;0;0;Phường An Phú Đông;Quận 1;0,05916
382;59,0;2,65;2;2;Sổ chung;Không rõ;17/03/2026;0;0;1;0;1;0;Thị trấn Tân Túc;Bình Chánh;0,044915
